"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","949","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","1118","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","943","Проверка валидного заполнения данных о покупателе","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"Проверка добавления двух товаров в корзину","3116","Проверка добавления двух товаров в корзину","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 2","tests.CartTest","checkAddProductsFromProductsPage"
"","627","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","1004","Проверка перехода на страницу информации об оформлении заказа","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutCompleteTest","Thread 2","tests.CheckoutCompleteTest","checkPageNavigationToCheckoutComplete"
"","1104","Проверка удаления одного товара из корзины","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 2","tests.CartTest","checkRemoveProductFromCart"
"","735","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","963","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","2375","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","934","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
